Step,Training Loss,Validation Loss
1448,5.5259,5.063221
2896,5.1706,4.884918
4344,5.0177,4.787751
5792,4.9558,4.728661
7240,4.9011,4.680741
8688,4.8431,4.648228
10136,4.7771,4.626292
11584,4.7306,4.599298
13032,4.7232,4.577459
14480,4.7378,4.557754
15928,4.6652,4.547373
17376,4.6765,4.532454
18824,4.6457,4.52416
20272,4.6005,4.514829
21720,4.6411,4.508306
23168,4.6123,4.49941
24616,4.598,4.495914
26064,4.579,4.493077
27512,4.6113,4.4877
28960,4.6147,4.487995
30408,4.5814,4.485563
31856,4.6103,4.482987
33304,4.5698,4.483446
34752,4.5822,4.48304
