[Training Progress]

Step	Training Loss	Validation Loss
1448.0	5.525900	5.063221
2896.0	5.170600	4.884918
4344.0	5.017700	4.787751
5792.0	4.955800	4.728661
7240.0	4.901100	4.680741
8688.0	4.843100	4.648228
10136.0	4.777100	4.626292
11584.0	4.730600	4.599298
13032.0	4.723200	4.577459
14480.0	4.737800	4.557754
15928.0	4.665200	4.547373
17376.0	4.676500	4.532454
18824.0	4.645700	4.524160
20272.0	4.600500	4.514829
21720.0	4.641100	4.508306
23168.0	4.612300	4.499410
24616.0	4.598000	4.495914
26064.0	4.579000	4.493077
27512.0	4.611300	4.487700
28960.0	4.614700	4.487995
30408.0	4.581400	4.485563
31856.0	4.610300	4.482987
33304.0	4.569800	4.483446
34752.0	4.582200	4.483040
